set_a,set_b,image_a,image_b,distance
sysucc,sysucc,malignant(880).png,malignant(881).png,4
sysucc,sysucc,malignant(887).png,malignant(889).png,4
sysucc,sysucc,malignant(89).png,malignant(90).png,4
sysucc,sysucc,malignant(891).png,malignant(895).png,4
sysucc,sysucc,malignant(907).png,malignant(908).png,4
sysucc,sysucc,malignant(917).png,malignant(921).png,4
sysucc,sysucc,malignant(92).png,malignant(93).png,4
sysucc,sysucc,malignant(924).png,malignant(926).png,4
sysucc,sysucc,malignant(938).png,malignant(939).png,4
sysucc,sysucc,malignant(949).png,malignant(952).png,4
sysucc,sysucc,malignant(957).png,malignant(958).png,4
sysucc,sysucc,malignant(964).png,malignant(967).png,4
sysucc,sysucc,malignant(965).png,malignant(966).png,4
sysucc,sysucc,malignant(968).png,malignant(969).png,4
sysucc,sysucc,malignant(970).png,malignant(971).png,4
sysucc,sysucc,malignant(972).png,malignant(973).png,4
sysucc,sysucc,malignant(98).png,malignant(99).png,4
sysucc,sysucc,benign(10).png,benign(9).png,6
sysucc,sysucc,benign(118).png,benign(126).png,6
sysucc,sysucc,benign(125).png,benign(131).png,6
sysucc,sysucc,benign(164).png,benign(165).png,6
sysucc,sysucc,benign(177).png,benign(178).png,6
sysucc,sysucc,benign(200).png,benign(202).png,6
sysucc,sysucc,benign(201).png,benign(204).png,6
sysucc,sysucc,benign(208).png,benign(209).png,6
sysucc,sysucc,benign(211).png,benign(213).png,6
sysucc,sysucc,benign(277).png,benign(282).png,6
sysucc,sysucc,benign(307).png,benign(309).png,6
sysucc,sysucc,benign(357).png,benign(358).png,6
sysucc,sysucc,benign(372).png,benign(373).png,6
sysucc,sysucc,benign(375).png,benign(377).png,6
sysucc,sysucc,benign(422).png,benign(423).png,6
sysucc,sysucc,benign(79).png,benign(80).png,6
sysucc,sysucc,malignant(1005).png,malignant(1010).png,6
sysucc,sysucc,malignant(1007).png,malignant(1013).png,6
sysucc,sysucc,malignant(1009).png,malignant(1013).png,6
sysucc,sysucc,malignant(1040).png,malignant(1045).png,6
sysucc,sysucc,malignant(1055).png,malignant(1057).png,6
sysucc,sysucc,malignant(112).png,malignant(113).png,6
sysucc,sysucc,malignant(12).png,malignant(9).png,6
sysucc,sysucc,malignant(122).png,malignant(124).png,6
sysucc,sysucc,malignant(123).png,malignant(125).png,6
sysucc,sysucc,malignant(159).png,malignant(160).png,6
sysucc,sysucc,malignant(193).png,malignant(199).png,6
sysucc,sysucc,malignant(22).png,malignant(23).png,6
sysucc,sysucc,malignant(25).png,malignant(27).png,6
sysucc,sysucc,malignant(282).png,malignant(286).png,6
sysucc,sysucc,malignant(287).png,malignant(288).png,6
sysucc,sysucc,malignant(322).png,malignant(4).png,6
sysucc,sysucc,malignant(39).png,malignant(42).png,6
sysucc,sysucc,malignant(4).png,malignant(6).png,6
sysucc,sysucc,malignant(439).png,malignant(440).png,6
sysucc,sysucc,malignant(48).png,malignant(51).png,6
sysucc,sysucc,malignant(489).png,malignant(490).png,6
sysucc,sysucc,malignant(500).png,malignant(501).png,6
sysucc,sysucc,malignant(503).png,malignant(506).png,6
sysucc,sysucc,malignant(562).png,malignant(563).png,6
sysucc,sysucc,malignant(582).png,malignant(583).png,6
sysucc,sysucc,malignant(590).png,malignant(593).png,6
sysucc,sysucc,malignant(592).png,malignant(593).png,6
sysucc,sysucc,malignant(599).png,malignant(603).png,6
sysucc,sysucc,malignant(624).png,malignant(625).png,6
sysucc,sysucc,malignant(627).png,malignant(628).png,6
sysucc,sysucc,malignant(64).png,malignant(67).png,6
sysucc,sysucc,malignant(65).png,malignant(66).png,6
sysucc,sysucc,malignant(660).png,malignant(663).png,6
sysucc,sysucc,malignant(766).png,malignant(768).png,6
sysucc,sysucc,malignant(773).png,malignant(775).png,6
sysucc,sysucc,malignant(803).png,malignant(804).png,6
sysucc,sysucc,malignant(811).png,malignant(812).png,6
sysucc,sysucc,malignant(868).png,malignant(870).png,6
sysucc,sysucc,malignant(902).png,malignant(904).png,6
sysucc,sysucc,malignant(914).png,malignant(915).png,6
sysucc,sysucc,malignant(936).png,malignant(937).png,6
sysucc,sysucc,malignant(945).png,malignant(946).png,6
sysucc,sysucc,malignant(96).png,malignant(97).png,6
sysucc,sysucc,benign(105).png,benign(107).png,8
sysucc,sysucc,benign(188).png,benign(190).png,8
sysucc,sysucc,benign(216).png,benign(219).png,8
sysucc,sysucc,benign(274).png,malignant(1023).png,8
sysucc,sysucc,benign(310).png,benign(381).png,8
sysucc,sysucc,benign(316).png,benign(319).png,8
sysucc,sysucc,benign(330).png,benign(331).png,8
sysucc,sysucc,benign(342).png,benign(343).png,8
sysucc,sysucc,benign(381).png,benign(382).png,8
sysucc,sysucc,benign(424).png,benign(427).png,8
sysucc,sysucc,benign(430).png,benign(432).png,8
sysucc,sysucc,malignant(1006).png,malignant(1007).png,8
sysucc,sysucc,malignant(1006).png,malignant(1009).png,8
sysucc,sysucc,malignant(1022).png,malignant(1023).png,8
sysucc,sysucc,malignant(1072).png,malignant(1073).png,8
sysucc,sysucc,malignant(1099).png,malignant(1102).png,8
sysucc,sysucc,malignant(1109).png,malignant(284).png,8
sysucc,sysucc,malignant(111).png,malignant(112).png,8
sysucc,sysucc,malignant(132).png,malignant(133).png,8
sysucc,sysucc,malignant(151).png,malignant(153).png,8
sysucc,sysucc,malignant(170).png,malignant(172).png,8
sysucc,sysucc,malignant(194).png,malignant(202).png,8
sysucc,sysucc,malignant(215).png,malignant(216).png,8
sysucc,sysucc,malignant(251).png,malignant(253).png,8
sysucc,sysucc,malignant(269).png,malignant(270).png,8
sysucc,sysucc,malignant(322).png,malignant(6).png,8
sysucc,sysucc,malignant(323).png,malignant(4).png,8
sysucc,sysucc,malignant(323).png,malignant(6).png,8
sysucc,sysucc,malignant(327).png,malignant(379).png,8
sysucc,sysucc,malignant(36).png,malignant(37).png,8
sysucc,sysucc,malignant(374).png,malignant(378).png,8
sysucc,sysucc,malignant(397).png,malignant(398).png,8
sysucc,sysucc,malignant(397).png,malignant(948).png,8
sysucc,sysucc,malignant(398).png,malignant(947).png,8
sysucc,sysucc,malignant(471).png,malignant(473).png,8
sysucc,sysucc,malignant(621).png,malignant(689).png,8
sysucc,sysucc,malignant(659).png,malignant(660).png,8
sysucc,sysucc,malignant(918).png,malignant(919).png,8
sysucc,sysucc,malignant(947).png,malignant(948).png,8
sysucc,sysucc,malignant(985).png,malignant(987).png,8
